River ID,River name,Latitude,Longitude,Country,Region,Continent,Ocean Basin,"Monthly discharge (Qm) 
(m3/s)",interannual mean discharge (Qa=ΣQm / 12) (m3/s),enviromental discharge (Qe=Qa*0.3) (m3/s),Extraction Factor (EF),"Design flow  (Qd=Qa*EF) 
(m3/s)","Extractable discharge (Qex_m) (m3/s)
Extractable discharge depends on the monthly discharge (Qm), the environmental discharge (Qe), and the design flow (Qd).","Actual extractable water volume per year (Qreal=ΣQex_m) 
(m3/s)","Capacity factor (CF=Qreal/Qideal) 
(%)"
282,Pra,5.02787097679142,-1.61735048267106,Ghana,Western Africa,Africa,North Atlantic Ocean,54.307144,196.98333483333332,59.09500044999999,22.0,43.33633366333333,0,387.30781360000003,74.4771151710086
283,James,36.948770445508,-76.450531088625,United States,Northern America,North America,North Atlantic Ocean,262.00659,197.72583841666665,59.31775152499999,16.0,31.636134146666663,31.636135,379.63362000000006,100.00000269733759
284,Rapel,-33.9054925548327,-71.8309624685229,Chile,South America,South America,South Pacific Ocean,149.16307,192.56777216666669,57.77033165,4.0,7.702710886666668,7.7027106,92.43252720000002,99.99999627836654
285,Bayano,9.00895307072168,-79.1021368708355,Panama,Central America,North America,North Pacific Ocean,100.63636,191.24621316666665,57.37386394999999,54.0,103.27295511,43.262497,881.3904980000001,71.12143550887365
286,Jökulsá á Fjöll,66.1471255139266,-16.7117722081072,Iceland,Northern Europe,Europe,Arctic Ocean,112.24039,190.41326416666664,57.12397924999999,28.0,53.315713966666664,53.315716,639.7885919999999,100.0000038137599
287,Brantas,-7.3038265640042,112.845274812485,Indonesia,Southeastern Asia,Asia,South China and Easter Archipelagic Seas,253.83333,184.27701975000002,55.28310592500001,19.0,35.0126337525,35.012634,420.15160799999995,100.00000070688768
288,Escambia,30.5487567948742,-87.1893673008925,United States,Northern America,North America,North Atlantic Ocean,233.56935,172.1645351666667,51.649360550000004,17.0,29.26797097833334,29.267971,351.2156519999999,100.00000007402853
289,Neches,29.9816099125693,-93.8769980854103,United States,Northern America,North America,North Atlantic Ocean,241.33,178.06259500000002,53.4187785,5.0,8.903129750000002,8.9031286,106.83754320000001,99.99998708319397
290,Tay,56.4562753714347,-2.85452465104522,United Kingdom,Northern Europe,Europe,North Atlantic Ocean,319.53113,196.51879674999998,58.95563902499999,3.0,5.895563902499999,5.8955641,70.7467692,100.00000334997642
291,Shannon,52.5897869403701,-9.54534294245519,Ireland,Northern Europe,Europe,North Atlantic Ocean,344.48181,190.38647341666663,57.11594202499999,7.0,13.327053139166665,13.327053,159.92463600000005,99.99999895575819
292,Androscoggin,43.7524188488956,-69.7772473011517,United States,Northern America,North America,North Atlantic Ocean,135.44687,179.4645835,53.83937505,21.0,37.687562535,37.687561,452.25073200000014,99.99999592703831
293,Kelani Ganga,6.98016662281881,79.8732092743633,Sri Lanka,Southern Asia,Asia,Indian Ocean,107.69722,173.26053925,51.978161775,27.0,46.7803455975,46.780346,561.364152,100.00000086040406
294,Cavally (Cavall,4.3651199231856,-7.52837823286378,Ivory Coast,Western Africa,Africa,North Atlantic Ocean,41.572224,172.34152783333334,51.70245835,97.0,167.17128199833334,0,992.539234,49.477160098681274
295,Jintsu,36.7576128565943,137.220994690316,Japan,Eastern Asia,Asia,North Pacific Ocean,104.146,150.20068700000002,45.0602061,31.0,46.562212970000004,46.562218,558.7466160000001,100.00001080275118
296,Labuk,6.10398253862985,117.626594919084,Malaysia,Southeastern Asia,Asia,South China and Easter Archipelagic Seas,226.17143,171.90596949999997,51.57179084999999,26.0,44.69555206999999,44.695549,536.3465880000001,99.99999313130762
297,Atoyac (Verde),15.9893274157837,-97.7844905002164,Mexico,Central America,North America,North Pacific Ocean,53.5,168.80555516666666,50.64166655,46.0,77.65055537666667,2.8583336,494.9783452,53.12028385791566
298,Rogue,42.4225,-124.429166666667,United States,Northern America,North America,North Pacific Ocean,331.48459,162.6769206666667,48.80307620000001,2.0,3.253538413333334,3.2535386,39.04246319999999,100.00000573734323
299,Ponoy,66.9835,41.335861,Russia,European Russia,Europe,Arctic Ocean,48.342106,168.11729158333333,50.435187475,74.0,124.40679577166667,0,797.0776979999999,53.3918915666886
300,Tana (Teno),70.4964151644926,28.3737452797306,Norway,Northern Europe,Europe,Arctic Ocean,54.539059,167.57362816666665,50.27208844999999,11.0,18.433099098333333,4.2669716,152.7914632,69.07477611556149
301,Agno,16.0418029863303,120.195137095981,Philippines,Southeastern Asia,Asia,South China and Easter Archipelagic Seas,54.888889,165.293154,49.5879462,46.0,76.03485084,5.3009453,527.9730483,57.86524671112249
302,Periyar,10.1774804940656,76.1636279735184,India,Southern Asia,Asia,Indian Ocean,22.454546,161.85605741666666,48.556817224999996,76.0,123.01060363666666,0,706.21208,47.842222480667935
303,Muonio,65.8078401704108,24.1469031684881,Sweden,Northern Europe,Europe,Baltic Sea,40.938461,159.54487166666667,47.8634615,76.0,121.25410246666667,0,721.5779384,49.591307546230944
304,Oyodo,31.9022690332975,131.429940736694,Japan,Eastern Asia,Asia,North Pacific Ocean,55.775749,150.45275758333335,45.135827275000004,5.0,7.522637879166668,7.5226374,90.27164879999998,99.99999363033714
305,Tana,-2.52997953443102,40.5238870734791,Kenya,Eastern Africa,Africa,Indian Ocean,109.93862,164.15516133333335,49.2465484,13.0,21.340170973333336,21.340172,256.082064,100.00000481095799
306,Patsjoki,69.7020283088196,30.1039559651624,Norway,Northern Europe,Europe,Arctic Ocean,158.39999,156.66736,47.000208,55.0,86.16704800000001,86.167053,1034.004636,100.00000580268224
307,Gambie,13.3977046346242,-16.5453280782056,Gambia,Western Africa,Africa,North Atlantic Ocean,17.085714,149.67919395833334,44.9037581875,100.0,149.67919395833334,0,578.143713,32.18793572833619
308,Kum (Geum),-3.85833333333333,126.6875,Indonesia,Southeastern Asia,Asia,South China and Easter Archipelagic Seas,71,148.6875,44.606249999999996,17.0,25.276875,25.276875,303.3225,100.0
309,Tauri,-8.22223681173465,146.157501626488,Papua New Guinea,Melanesia,Asia,South Pacific Ocean,150.16667,148.3104660833333,44.493139824999986,22.0,32.62830253833332,32.628304,391.5396480000001,100.00000447975093
310,Mira,1.64048304742439,-78.9961043419999,Colombia,South America,South America,North Pacific Ocean,162.51057,144.19088308333335,43.257264925,29.0,41.81535609416667,41.815353,501.78423600000013,99.99999260040583
311,Mahavavy Nord,-12.9958333333333,48.8958333333333,Madagascar,Eastern Africa,Africa,Indian Ocean,353.46191,148.79762691666667,44.639288075,86.0,127.96595914833334,127.96596,684.6319465,44.58424927069865
312,Guandu-2,-22.9224852766162,-43.7768748934847,Brazil,South America,South America,South Atlantic Ocean,177.82672,146.68162833333332,44.004488499999994,49.0,71.87399788333333,71.873993,862.4879160000002,99.9999932057024
313,Vjosa,40.6442577202308,19.3184468556369,Albania,Southern Europe,Europe,Mediterranean Region,244.3,145.78458350000002,43.73537505000001,29.0,42.277529215,42.277534,369.2745094,72.78778196057675
314,Tano,5.10429614189153,-2.9340701941003,Ivory Coast,Western Africa,Africa,North Atlantic Ocean,52.584614,143.95151,43.185453,3.0,4.3185453,4.3185458,51.82254960000001,100.0000115779728
315,Chiriquí,8.32004757689313,-82.3384774404641,Panama,Central America,North America,North Pacific Ocean,68.875,143.14958325,42.944874975,32.0,45.80786664,25.930126,402.74829739999996,73.26767338987926
316,Santa,-8.96923899596494,-78.6373756492693,Peru,South America,South America,South Pacific Ocean,199.40962,143.60882808333335,43.082648425,3.0,4.308264842500001,4.3082647,51.699176400000006,99.9999966924039
317,Gono,35.0210652769513,132.227827611004,Japan,Eastern Asia,Asia,North Pacific Ocean,114.28133,150.82924983333334,45.24877495,21.0,31.674142465,31.674141,380.089692,99.99999537477613
318,Yoshino,34.0978992828397,134.544402545732,Japan,Eastern Asia,Asia,North Pacific Ocean,44.44532,150.37286458333332,45.111859374999995,7.0,10.526100520833333,0,109.9055632,87.01035027364765
319,Vanapa,-9.10215730308614,146.945003321185,Papua New Guinea,Melanesia,Asia,South Pacific Ocean,189.77777,138.92428966666665,41.67728689999999,17.0,23.617129243333334,23.617126,283.40551199999993,99.99998626702973
320,Avacha,53.0258990158725,158.477562422447,Russia,Asiatic Russia,Asia,North Pacific Ocean,69.571701,135.55635074999998,40.666905224999994,20.0,27.111270149999996,27.111271,325.3352519999999,100.0000031352275
321,Sambirano,-13.6916666666667,48.325,Madagascar,Eastern Africa,Africa,Indian Ocean,271.02499,136.73278374999998,41.01983512499999,51.0,69.73371971249999,69.733719,448.0400282,53.54177171474469
322,Guama,-0.958333333333334,-46.7,Brazil,South America,South America,South Atlantic Ocean,91.81546,175.24316366666667,52.5729491,22.0,38.55349600666667,38.553493,340.8720354,73.6794477602966
323,Pungoe,-19.8320264879257,34.8034670102694,Mozambique,Eastern Africa,Africa,Indian Ocean,152.25,135.56944383333334,40.67083315,82.0,111.16694394333334,111.16695,604.7344554000001,45.33230487624839
324,Harricana,51.1667903367751,-79.7914690314955,Canada,Northern America,North America,Arctic Ocean,69.028755,147.33902750000001,44.20170825,1.0,1.473390275,1.4733903,17.6806836,100.00000169676697
325,Colorado-SA,-39.6966727798298,-62.1099191650671,Argentina,South America,South America,South Atlantic Ocean,207.48734,130.45847941666668,39.137543825,27.0,35.223789442500006,35.223789,422.68546800000007,99.99999874374674
326,San Joaquim,38.030386170004,-121.730105927217,United States,Northern America,North America,North Pacific Ocean,138.63358,124.18582558333334,37.255747675,2.0,2.483716511666667,2.4837165,29.804598,99.99999953027381
327,Wairau,-41.4375,174.033333333333,New Zealand,Australia/New Zealand,Oceania,South Pacific Ocean,87.952171,130.0394914166667,39.011847425000006,14.0,18.20552879833334,18.20553,218.46636000000004,100.00000660055896
328,Luanhe,39.4221681223952,119.266349474771,China,Eastern Asia,Asia,North Pacific Ocean,29.050018,128.61449525000003,38.58434857500001,8.0,10.289159620000003,0,90.72773160000001,73.48165038963599
329,Roggan,54.4125,-79.4583333333333,Canada,Northern America,North America,Arctic Ocean,55.375,128.5637245,38.56911735,74.0,95.13715613000001,16.805885,744.696139,65.23004692145125
330,Kalinadi (Kali,14.8422222326666,74.1230555459488,India,Southern Asia,Asia,Indian Ocean,24.299999,127.39166708333336,38.21750012500001,32.0,40.765333466666675,0,235.691673,48.18057668057637
331,Agus,14.775,121.654166666667,Philippines,Southeastern Asia,Asia,North Pacific Ocean,137,125.620834,37.686250199999996,4.0,5.024833360000001,5.0248332,60.29799840000001,99.99999681581481
332,Burnside,66.841139,-108.033944,Canada,Northern America,North America,Arctic Ocean,17.043081,133.30229725,39.990689175,43.0,57.31998781750001,0,295.1535318,42.91021088195471
333,Ljungan,62.3059372977383,17.3805188156709,Sweden,Northern Europe,Europe,Baltic Sea,74.349251,121.65870666666666,36.497612,23.0,27.981502533333334,27.981501,335.778012,99.99999452018942
334,Manambolo,-19.3,44.3666666666667,Madagascar,Eastern Africa,Africa,Indian Ocean,284.125,121.73256558333334,36.519769675,74.0,90.08209853166667,90.082108,584.8117434000001,54.099885265071144
335,Cho-Shui,23.8349100825548,120.27039597039,Taiwan,Eastern Asia,Asia,South China and Easter Archipelagic Seas,41,120.25,36.074999999999996,3.0,3.6075,3.6075001,43.290001200000006,100.00000277200279
336,Chehalis,46.9570423294082,-123.841996102261,United States,Northern America,North America,North Pacific Ocean,265.11761,117.01820249999999,35.10546074999999,81.0,94.784744025,94.784752,599.93551703,52.74543591738805
337,Tapi-TH,9.19289463874991,99.3792231077864,Thailand,Southeastern Asia,Asia,South China and Easter Archipelagic Seas,56.573334,114.78225808333333,34.434677425,19.0,21.808629035833334,21.80863,206.73300899999998,78.99511116307869
338,Nuble,-36.3840049969505,-72.8198643451641,Chile,South America,South America,South Pacific Ocean,76.937805,129.14201241666666,38.742603724999995,7.0,9.039940869166667,9.0399408,94.79583129999999,87.38610929721213
339,Chikugo,33.151787501266,130.355473549842,Japan,Eastern Asia,Asia,North Pacific Ocean,51.54813,113.05485816666668,33.91645745,13.0,14.697131561666668,14.697132,176.365584,100.00000298244139
340,Mananjary,-21.2516946453041,48.3304796922107,Madagascar,Eastern Africa,Africa,Indian Ocean,164.44667,113.1412705,33.94238115,19.0,21.496841395,21.496841,257.9620919999999,99.99999816252073
341,Lagarfljot,65.6492851000225,-14.2367986118117,Iceland,Northern Europe,Europe,Arctic Ocean,51.136772,118.84408533333333,35.6532256,13.0,15.449731093333332,15.44973,185.39675999999997,99.99999292328567
342,"Maritza (Meric,",40.7300449809329,26.0382300400935,Turkey,Western Asia,Asia,Mediterranean Region,155.2347,109.87942216666666,32.963826649999994,2.0,2.1975884433333333,2.1975884,26.371060800000006,99.99999802814158
343,Papagayo,16.6867238710355,-99.6056043790402,Mexico,Central America,North America,North Pacific Ocean,39,107.80208333333333,32.340624999999996,100.0,107.80208333333333,6.6593742,567.7208602,43.88604581698715
344,Maipo,-33.6197119507131,-71.6280890059256,Chile,South America,South America,South Pacific Ocean,215.74728,112.80315149999997,33.84094544999999,21.0,23.688661814999993,23.688662,284.263944,100.00000078096436
345,Ivondro,-18.2721765298182,49.3651234759727,Madagascar,Eastern Africa,Africa,Indian Ocean,141.44516,106.6892105,32.00676315,30.0,32.00676315,32.006763,384.0811559999999,99.99999953134903
346,Voroniya,69.300833,33.587417,Russia,European Russia,Europe,Arctic Ocean,89.906494,150.56324516666666,45.16897355,29.0,43.663341098333326,43.663342,523.960104,100.00000206504278
347,Mono,6.22996921942582,1.59979946568474,Togo,Western Africa,Africa,North Atlantic Ocean,23.904449,121.22144550000002,36.366433650000005,40.0,48.488578200000006,0,271.4617689,46.653902660730104
348,Incomati (Komat,-25.7666666666667,32.7333333333334,Mozambique,Eastern Africa,Africa,Indian Ocean,201.875,106.20138883333334,31.86041665,76.0,80.71305551333334,80.713051,355.00637159999997,36.653133885029185
349,Innuksuac (Innu,58.4583333333333,-78.0916666666667,Canada,Northern America,North America,Arctic Ocean,57.333332,103.09778366666666,30.929335099999996,3.0,3.0929335099999995,3.0929337,37.1152044,100.00000614303542
350,Mucuri,-18.0958333333333,-39.5541666666667,Brazil,South America,South America,South Atlantic Ocean,187.57628,99.97675233333331,29.99302569999999,20.0,19.995350466666665,19.99535,239.9442,99.9999976661241
351,Suchiate,14.5325125003907,-92.2273848935672,Guatemala,Central America,North America,North Pacific Ocean,44.788002,119.39422366666668,35.8182671,2.0,2.3878844733333335,2.3878844,25.049914100000006,87.42017735693307
352,Tugela,-29.2235011205646,31.4970316989289,South Africa,Southern Africa,Africa,Indian Ocean,149.92644,81.80894500000001,24.542683500000003,17.0,13.907520650000002,13.907519,166.89022800000006,99.99998813591554
353,Bueyuek Mendere,37.541044933751,27.170037693311,Turkey,Western Asia,Asia,Mediterranean Region,222.875,98.53869108333333,29.561607324999997,5.0,4.926934554166667,4.9269347,59.12321640000002,100.00000295992027
354,Citanduy,-7.69569617881788,108.787737997805,Indonesia,Southeastern Asia,Asia,Indian Ocean,125.05428,97.06914308333332,29.120742924999995,13.0,12.618988600833331,12.618989,151.427868,100.00000316322235
355,Yuna,19.1978448217166,-69.6276836237125,Dominican Republic,Caribbean,North America,North Atlantic Ocean,76.944443,96.18333299999999,28.854999899999996,29.0,27.893166569999995,27.893166,334.71799200000004,99.99999795648876
356,Maputo,-26.1987579582506,32.6835770922421,Mozambique,Eastern Africa,Africa,Indian Ocean,187.875,97.14236133333333,29.142708399999997,17.0,16.514201426666666,16.514202,145.70319630000003,73.5241911570338
357,Piratini,-31.7894198584988,-52.2289345765614,Brazil,South America,South America,South Atlantic Ocean,41.262287,98.26855633333334,29.4805669,11.0,10.809541196666666,10.809542,129.71450399999998,100.0000074317061
358,Tabasará,8.0125,-81.675,Panama,Central America,North America,North Pacific Ocean,40.525002,95.24875108333335,28.574625325000003,69.0,65.72163824750001,11.950377,467.07593299999996,59.22401731692569
359,Corrib,53.2684661102925,-9.05324097784732,Ireland,Northern Europe,Europe,North Atlantic Ocean,175.14285,91.31071441666667,27.393214325,27.0,24.653892892500004,24.653894,225.01614450000002,76.0583549898701
360,Arno,43.6799999965379,10.2774999575458,Italy,Southern Europe,Europe,Mediterranean Region,151.79181,91.31280043333334,27.39384013,92.0,84.00777639866668,84.007774,607.9050960000001,60.3024626667824
361,Luga,59.6708196443295,28.3026583449956,Russia,European Russia,Europe,Baltic Sea,46.274879,89.59231908333334,26.877695725,7.0,6.271462335833334,6.271462,75.257544,99.9999946450554
362,Mohaka,-39.1208333333333,177.191666666667,New Zealand,Australia/New Zealand,Oceania,South Pacific Ocean,59.722221,88.29185183333333,26.487555549999996,33.0,29.136311104999997,29.136309,349.63570799999997,99.999992775338
363,St Johns,30.4019464066359,-81.408326929711,United States,Northern America,North America,North Atlantic Ocean,76.315025,86.55621458333331,25.966864374999993,21.0,18.176805062499994,18.176805,218.12166000000002,99.99999965615524
364,Santa María,8.09583333333333,-80.4833333333334,Panama,Central America,North America,North Pacific Ocean,23.63899,13.869379391666664,4.160813817499999,22.0,3.051263466166666,3.0512636,36.61516319999999,100.00000438616117
365,Trent,53.6964859571062,-0.69572336664479,United Kingdom,Northern Europe,Europe,North Atlantic Ocean,176.87013,104.86911066666669,31.460733200000004,17.0,17.827748813333336,17.827749,213.93298800000005,100.00000104705687
366,Ekwan,53.2083333333333,-82.2166666666667,Canada,Northern America,North America,Arctic Ocean,13.797134,75.98735065833333,22.796205197499997,60.0,45.592410394999995,0,324.94675780000006,59.39343028528058
367,Ems,53.3242378554926,7.25868893393245,Germany,Western Europe,Europe,North Atlantic Ocean,162.92857,85.31190508333334,25.593571525,10.0,8.531190508333335,8.5311909,102.3742908,100.00000459099658
368,Pregolya,54.6894645488735,20.3804364697274,Russia,European Russia,Europe,Baltic Sea,98.777145,85.20166533333332,25.560499599999996,22.0,18.74436637333333,18.744368,224.93241600000007,100.00000867816306
369,Jinjiang,24.875,118.620833333333,China,Eastern Asia,Asia,South China and Easter Archipelagic Seas,25.700001,83.67959716666667,25.10387915,11.0,9.204755688333334,0.59612274,93.51911371000001,84.66557657484582
370,Ellice,67.6999969482422,-104.139999389648,Canada,Northern America,North America,Arctic Ocean,0.13645162,90.11373855750833,27.034121567252498,97.0,87.41032640078308,0,339.58267099999995,32.374385363710466
371,Tweed,55.763623585726,-1.9993754525373,United Kingdom,Northern Europe,Europe,North Atlantic Ocean,138.56947,82.34557416666665,24.703672249999993,3.0,2.4703672249999995,2.4703672,29.644406399999994,99.9999989880047
372,Lorillard,63.875028,-90.128083,Canada,Northern America,North America,Arctic Ocean,0.40000001,81.73276774583333,24.519830323749996,100.0,81.73276774583333,0,333.7445652,34.028025560675864
373,San Pedro,21.7409973254183,-105.491448941738,Mexico,Central America,North America,North Pacific Ocean,23.677143,81.52071480066667,24.4562144402,100.0,81.52071480066667,0,379.327569,38.776194280550506
374,Ferguson,61.9265,-93.458778,Canada,Northern America,North America,Arctic Ocean,11.3,81.41041274166668,24.423123822500003,100.0,81.41041274166668,0,383.8017997,39.286722952534376
375,Chira (Catamayo,-4.89961251330725,-81.1380201544293,Peru,South America,South America,South Pacific Ocean,83.150002,81.45520833333335,24.436562500000004,12.0,9.774625,9.7746248,100.90968679999999,86.03031386540829
376,Zohreh,30.0637398141845,49.4929963348121,Iran,Southern Asia,Asia,Indian Ocean,120.04762,81.5416675,24.46250025,52.0,42.401667100000004,42.401665,310.0415402,60.933441498262845
377,Umba,66.7900009155273,34.1399993896484,Russia,European Russia,Europe,Arctic Ocean,39.591667,80.486575,24.1459725,5.0,4.0243287500000005,4.0243287,48.291944399999984,99.99999875755672
378,Quinault River,47.3486670832543,-124.297560842355,United States,Northern America,North America,North Pacific Ocean,122.91409,81.51762425,24.455287275,1.0,0.8151762425,0.81517631,9.78211572,100.00000828041794
379,Turiacu,-1.62488272607799,-45.3326086062959,Brazil,South America,South America,South Atlantic Ocean,52.013283,94.07855333333333,28.223565999999998,100.0,94.07855333333333,23.789715,512.307042,45.37936860990564
380,Varzuga,66.3899993896484,36.5999984741211,Russia,European Russia,Europe,Arctic Ocean,24.419121,83.01956299999999,24.905868899999998,51.0,42.339977129999994,0,307.947359,60.61004671276417
381,Mondego,40.1452740350174,-8.86777765602709,Portugal,Southern Europe,Europe,North Atlantic Ocean,190.83849,87.92477484166666,26.3774324525,53.0,46.60013066608333,46.600132,335.54302777,60.003949733953576
382,Itapemirim,-21.0047211805934,-40.8085112541306,Brazil,South America,South America,South Atlantic Ocean,159.53113,84.63466275,25.390398825000002,11.0,9.309812902500001,9.3098135,111.71776200000004,100.00000641795927
383,Thames (natural,51.4986656044825,0.577475831737875,United Kingdom,Northern Europe,Europe,North Atlantic Ocean,153.19418,86.04155591666667,25.812466775,12.0,10.32498671,10.324987,123.89984399999997,100.0000028087203
384,Piria,-1.10833333333333,-46.2333333333334,Brazil,South America,South America,South Atlantic Ocean,46.552094,75.14940536666667,22.54482161,100.0,75.14940536666667,24.007271,406.2610152,45.05036924086798
385,Santa Catalina,16.5055169117168,-98.7278408645799,Mexico,Central America,North America,North Pacific Ocean,30.928572,76.12698466666666,22.838095399999997,96.0,73.08190527999999,8.0904751,414.6895381,47.28593401599579
386,Yokanga,67.9800033569336,39.7000007629395,Russia,European Russia,Europe,Arctic Ocean,17.984737,75.30238141666668,22.590714425,100.0,75.30238141666668,0,365.02019600000006,40.39493717782234
387,South Esk,-41.4041666666667,147.120833333333,Australia,Australia/New Zealand,Australia,South Pacific Ocean,18.934742,74.31432625000001,22.294297875,7.0,5.202002837500001,0,54.65563749999999,87.55543971448922
388,Penner,14.5747135372899,80.1823791598264,India,Southern Asia,Asia,Indian Ocean,14.285714,74.303570675,22.2910712025,100.0,74.303570675,0,358.77498026999996,40.23752122663383
389,Vohitra,-18.9750292251653,49.0979114530914,Madagascar,Eastern Africa,Africa,Indian Ocean,101.505,74.23343691666666,22.270031075,21.0,15.589021752499999,15.58902,187.06824000000003,99.99998875811438
390,Hino,51.6196625626949,-2.65867643803674,United Kingdom,Northern Europe,Europe,North Atlantic Ocean,87.23333,73.802777,22.140833100000002,32.0,23.616888640000003,23.616888,283.402656,99.99999729007484
391,Wye,58.1416666666667,-133.708333333333,United States,Northern America,North America,North Pacific Ocean,139.74489,73.56533225,22.069599675,2.0,1.471306645,1.4713066,17.655679199999998,99.99999694149413
392,Speel,35.1159928677593,138.63542243977,Japan,Eastern Asia,Asia,North Pacific Ocean,10.443811,72.94608350833333,21.883825052499997,97.0,70.75770100308333,0,402.93930600000004,47.45529465200799
393,Fuji,34.3696947330255,132.411581401657,Japan,Eastern Asia,Asia,North Pacific Ocean,76.228226,157.77910649999998,47.333731949999994,14.0,22.08907491,22.089073,265.06887599999993,99.99999135319149
394,Kao-Ping,22.525,120.425,Taiwan,Eastern Asia,Asia,South China and Easter Archipelagic Seas,14.300067,67.13169591666667,20.139508775,100.0,67.13169591666667,0,376.5776058,46.746125986382204
395,Nam-KP,38.7,125.5625,North Korea,Eastern Asia,Asia,North Pacific Ocean,11.970427,103.85854124999999,31.157562374999994,35.0,36.350489437499995,0,215.64608839999997,49.43676865084484
396,Yoshii,34.6172120565394,134.036946270736,Japan,Eastern Asia,Asia,North Pacific Ocean,31.1,68.70208349999999,20.610625049999996,13.0,8.931270855,8.9312706,107.17524720000002,99.99999714486324
397,Spey,57.6754922798585,-3.10081305388656,United Kingdom,Northern Europe,Europe,North Atlantic Ocean,95.670784,68.35838608333333,20.507515825,17.0,11.620925634166667,11.620927,139.45112399999996,100.00001175322322
398,Tubarao,-28.5028254210529,-48.7881362054178,Brazil,South America,South America,South Atlantic Ocean,181.43118,151.32163250000002,45.39648975000001,45.0,68.09473462500002,68.094742,817.136904,100.00001083049963
399,Gauya,57.1570648180021,24.2684364039952,Latvia,Eastern Europe,Europe,Baltic Sea,48.513042,67.33127425,20.199382275,31.0,20.872695017500003,20.872696,250.47235199999997,100.00000470710656
400,Ruvu,-6.38333333333333,38.8583333333334,Tanzania,Eastern Africa,Africa,Indian Ocean,64.268333,66.17085116666667,19.85125535,59.0,39.04080218833333,39.040798,297.4542375,63.49217161425904
401,Venta,57.4003522399761,21.5759160423168,Latvia,Eastern Europe,Europe,Baltic Sea,66.829208,65.05245225,19.515735675,7.0,4.553671657500001,4.5536718,49.78121150000001,91.10086549244502
402,Yaque del Norte,19.839714896024,-71.6837143273352,Dominican Republic,Caribbean,North America,North Atlantic Ocean,30.125,64.4664585,19.33993755,16.0,10.31463336,10.314633,111.9038907,90.40868346482847
403,M'Bei,0.169106116105107,9.8781863613414,Gabon,Middle Africa,Africa,North Atlantic Ocean,120,128.72916583333335,38.618749750000006,22.0,28.32041648333334,28.320417,339.845004,100.00000182436108
404,Pardo,-15.6875,-38.9375,Brazil,South America,South America,South Atlantic Ocean,109.91644,72.34669674999999,21.704009024999998,14.0,10.128537545,10.128537,121.54244399999997,99.99999461916393
405,Tijucas,-27.2444022140011,-48.6204746327103,Brazil,South America,South America,South Atlantic Ocean,98.335426,86.72447975,26.017343925,48.0,41.62775028,41.62775,499.53299999999996,99.99999932737175
406,Wainimala,-17.8208333333333,178.591666666667,Fiji,Polynesia,Oceania,South Pacific Ocean,22.924999,63.27361183333334,18.982083550000002,4.0,2.5309444733333337,2.5309443,30.371331600000005,99.99999315143674
407,Chiriquí Viejo,8.33333333333333,-82.7041666666667,Panama,Central America,North America,North Pacific Ocean,29.152632,63.044956000000006,18.9134868,16.0,10.087192960000001,10.087193,105.177174001,86.89002515208485
408,Balu,16.2209444199736,95.9195907360038,Myanmar,Southeastern Asia,Asia,Indian Ocean,38.058334,62.310668666666665,18.693200599999997,15.0,9.346600299999999,9.3466005,78.10306901,69.63589835083316
409,Santee,33.1272992046191,-79.2718884189041,United States,Northern America,North America,North Atlantic Ocean,72.020874,57.57436558333334,17.272309675000002,9.0,5.1816929025,5.1816931,62.18031720000002,100.0000038114957
410,Severn,51.629182314496,-2.61218557048562,United Kingdom,Northern Europe,Europe,North Atlantic Ocean,116.12887,61.61922441666667,18.485767325,5.0,3.0809612208333337,3.0809615,36.971538,100.000009061025
411,Gin Ganga,6.06398647318163,80.1746517130124,Sri Lanka,Southern Asia,Asia,Indian Ocean,37.081966,61.71171366666667,18.5135141,16.0,9.873874186666667,9.8738747,118.48649640000001,100.00000519890494
412,Maracacume,-1.37916666666667,-45.7041666666667,Brazil,South America,South America,South Atlantic Ocean,24.756092,58.70406442500001,17.611219327500002,73.0,42.85396703025001,7.1448708,231.1955185,44.95801565986534
413,Lagan,56.5486267476787,12.9473878343012,Sweden,Northern Europe,Europe,Baltic Sea,77.651512,60.43156508333334,18.129469525,27.0,16.316522572500002,16.316523,195.79827599999996,100.00000262004353
414,Mandrare (Manda,-25.1704467631261,46.4351579389291,Madagascar,Eastern Africa,Africa,Indian Ocean,198.19545,60.65791701666668,18.197375105000003,31.0,18.80395427516667,18.803955,101.1532074,44.82798578771425
415,Navua,-18.2568294858797,178.151072250022,Fiji,Polynesia,Oceania,South Pacific Ocean,83.133331,60.09166583333333,18.027499749999997,17.0,10.215583191666667,10.215583,122.58699599999998,99.99999812378142
416,Selangor,3.34514384773698,101.234457573255,Malaysia,Southeastern Asia,Asia,South China and Easter Archipelagic Seas,52.9142,57.64700874999999,17.294102624999997,26.0,14.988222274999998,14.988222,179.85866400000006,99.99999816522607
417,Antigua,19.3071375886853,-96.2883878658482,Mexico,Central America,North America,North Atlantic Ocean,19.854839,57.66209707500001,17.298629122500003,54.0,31.13753242050001,2.5562115,202.2537365,54.12913847524471
418,Itabapoana,-21.3093631209724,-40.9592095539948,Brazil,South America,South America,South Atlantic Ocean,211.21669,115.59461941666666,34.678385825,16.0,18.495139106666667,18.495138,221.941656,99.99999401644584
419,Blackwater,51.9441078935552,-7.83727216871392,Ireland,Northern Europe,Europe,North Atlantic Ocean,104.75,57.46666716666666,17.240000149999997,35.0,20.11333350833333,20.113333,179.00999820000004,74.1672177007327
